ID,ObLophari,Gorki,Azovi,Ovgort,Muzhi,Shurishakri,Pitlyar,ObPitlyar,Katrovozh,ObKatrovozh,Salehard,Labytnagi,Harsaim,Aksarka,Beloyarsk,ObBeloyarsk,Salemal,ObBeloyarsk_2,Panaevsk,Kutopugan,ObKutopugan,YarSale,ObYarSale,Nyda,ObYarSale_2,NewPort,ObNyda,MysKamenniy,Nahodka,Antipauta,ObAntipauta,ObMuzhi,Schuchie,ZeleniyYar,Samburg,SunaySale,Nori,Seyaha,ObSeyaha,Vosyahovo,ObVosyahovo,Lophari
ObLophari,0,20904.0317450737,31606.9334630143,83307.8866002298,63766.1904673844,101851.168888987,95030.2654041891,127310.206697711,148881.654651252,149022.306594774,179062.583869618,186954.771575204,192349.240387359,200862.882536527,232329.622384796,202833.96099654,252437.513537301,237155.310564812,279872.217753929,263138.199742753,261664.441134826,310123.671752626,279909.762772948,376903.943618927,340553.558912796,442110.401016787,347818.870697909,520372.618345876,610102.747684513,661873.128599156,565391.775075541,48629.5142346879,284514.794202199,171844.979782725,609377.335905349,331248.715986183,327093.802854328,643520.116481801,653094.842893619,82414.5133436033,74468.8732066714,4111.68615377504
Gorki,20904.0317450737,0,20771.611905281,66577.025020944,45698.400054355,93694.5956763738,92187.1947131142,122170.187734922,145628.273613024,146165.874388679,177499.448112509,184937.778784832,193923.066838731,204806.935101559,236097.639575622,204708.690149437,259513.459876895,242834.477206886,288909.150090166,275100.688187184,272695.995810384,320124.447412689,289804.083351187,389954.705213567,351306.123197324,451044.156482492,360260.455969903,527375.853109798,622249.410445676,669784.270084928,571691.322810033,28649.1677048877,287730.395654626,176278.446889693,623790.430859113,341446.550002538,341384.739735969,645128.553756661,655237.253876472,65819.3052366686,57567.4661100653,25015.7176788349
Azovi,31606.9334630143,20771.611905281,0,52224.215894696,58304.1345946606,112753.116948696,112697.660519279,142053.374954054,165892.507880385,166508.636049422,198011.707591672,205367.941291799,214690.264526075,225503.451529726,256816.934241613,225479.332882976,279766.866049119,263343.288220894,308639.632596571,293592.409635316,291640.784206558,339524.748248961,309231.669709059,407864.899706398,370408.713763783,470857.952683963,378523.827504241,547710.690287834,640718.952863654,689920.996332852,592164.900620735,39191.5478705235,308486.893185718,196913.861496028,640785.338594759,360777.475747126,358442.664786037,665866.571548723,675998.283656421,79334.3367578319,71083.1519652925,34834.2547907948
Ovgort,83307.8866002298,66577.025020944,52224.215894696,0,72624.2399062048,135762.096386512,144586.260175574,167556.751699634,193170.644637319,194450.02622897,226812.961609204,233095.844254142,248243.445574154,262496.436838751,293034.764689964,259263.30735697,320642.425544793,302367.78651157,352018.554226112,340626.454265437,337603.071732006,384044.137406587,353725.973374801,455945.892622407,415805.128000968,513543.962540373,425948.836156926,587270.581291142,687562.896378986,730661.90927053,630471.918480329,60026.7035275622,343153.169697804,235173.494803285,690236.429211656,405486.613770055,407848.943075056,695495.268342111,706631.757160153,89114.5155843031,83110.9111035666,86811.1572396912
Muzhi,63766.1904673844,45698.400054355,58304.1345946606,72624.2399062048,0,63153.0457127899,73744.9786499456,94932.52006012,120564.402911254,121880.496536915,154242.259752747,160473.410122378,176475.424090725,192026.901581866,221977.662144787,187503.056582817,252161.414190575,232727.370757117,285549.069148729,279233.25669755,274513.745532224,318594.183028387,288496.118981831,395454.085024815,351230.927509966,445589.37155742,364426.611706698,516957.274328473,623969.780341012,660856.338306655,559481.810482577,19140.2841741517,271333.535663307,165762.868904638,631798.668186545,340113.13076989,350808.076535402,622883.453889378,634008.549971006,21040.6584412073,12861.7351058461,67513.552139721
Shurishakri,101851.168888987,93694.5956763738,112753.116948696,135762.096386512,63153.0457127899,0,25555.8786006368,31867.792829691,57635.2204164393,59135.027167889,91401.8705929628,97397.4431849848,115513.396071097,133460.981929378,161980.149694288,126459.076030533,196011.112889463,175011.859241006,231856.630341713,232566.60452418,225681.730400464,265846.713891479,236474.160643448,347959.022386339,299237.906675473,388725.196504531,316074.238850908,457003.407389851,571494.762238656,601329.267049971,498638.60829919,78580.4425745649,209777.012703612,109910.651357733,584862.18928382,287215.875992606,308068.383044427,559734.240496003,570899.973077056,49425.862236421,53365.3239197636,103877.316218979
Pitlyar,95030.2654041891,92187.1947131142,112697.660519279,144586.260175574,73744.9786499456,25555.8786006368,0,33529.5557868765,53905.9764000247,54196.2505930887,85319.1781101433,92773.4909521575,103793.25259291,118322.808675124,148525.86740682,114790.260699451,178686.062951592,158997.114227425,212927.853489846,210424.153320356,204331.87126812,246442.56393794,216623.789718878,326357.997384732,279491.928557482,372097.644224711,294743.182412652,443290.17919545,552215.52555705,587125.174658558,486055.719565905,84751.6580166499,198645.468823862,92151.918914181,563275.824430174,267928.602250976,284933.967629076,553686.725275562,564146.983122687,66225.942786725,67426.5671224503,96117.4630721827
ObPitlyar,127310.206697711,122170.187734922,142053.374954054,167556.751699634,94932.52006012,31867.792829691,33529.5557868765,0,25800.7264055186,27446.1462975006,59569.5432887344,65548.0775266044,84864.0305337815,104427.810648425,131672.18638775,95664.3869388126,167940.407059201,146109.487640008,205014.501814335,210023.294700818,201898.101936671,239319.446560684,210610.951194148,323932.281165157,272945.936518347,359491.514974185,291753.879142188,426193.484961203,544214.801143742,570645.764180226,467424.802874806,109727.907934933,178421.661299139,83659.0692833869,560375.808972836,260472.33951441,287002.531659258,527973.721212643,539077.422146106,80925.3677016167,85205.5932240551,128698.541460079
Katrovozh,148881.654651252,145628.273613024,165892.507880385,193170.644637319,120564.402911254,57635.2204164393,53905.9764000247,25800.7264055186,0,2849.79093398073,33771.0449168358,40002.7819493556,60264.3384915853,81493.2255180701,107125.082102259,70802.0593242403,145380.203196082,122882.361695789,183387.818806209,192319.116765973,183124.057011767,217814.562998051,189852.246167755,304304.552224373,251525.371320336,335451.941508298,271982.387618774,400936.544985838,521588.581241414,545452.74693988,441896.276683364,134887.448086196,152861.853390453,64726.9011091109,539966.373818116,238698.077254502,270082.966847656,502489.141392872,513481.979139416,106701.3326203,110993.86991178,149858.184985403
ObKatrovozh,149022.306594774,146165.874388679,166508.636049422,194450.02622897,121880.496536915,59135.027167889,54196.2505930887,27446.1462975006,2849.79093398073,0,32363.5309560187,39006.9414280592,57993.4580078062,78944.3217927333,104873.242091576,68617.15599662,142821.498736957,120396.893233767,180750.468057263,189496.587314753,180330.045516044,215173.184938741,187153.437867568,301556.129329473,248881.561514303,333127.294365152,269238.495778741,398930.883408487,519071.354498316,543424.815853329,440020.953966349,135943.900976406,151000.254863477,61900.6363203833,537268.32725555,236081.640211499,267250.144584695,501358.79359925,512270.061199728,108357.370924506,112494.983792997,149922.529827596
Salehard,179062.583869618,177499.448112509,198011.707591672,226812.961609204,154242.259752747,91401.8705929628,85319.1781101433,59569.5432887344,33771.0449168358,32363.5309560187,0,8642.14766877843,31568.343589862,55875.6722297389,76544.6971596366,40423.3137979412,118260.286065662,94887.510027166,157397.876522979,172765.495793063,161991.17544934,191670.833021892,165274.556051346,280561.463703599,225267.976948883,304670.948350543,248217.504229355,368131.791475781,492754.607911673,512711.992720922,408633.585654269,168203.568596237,119680.039219298,50824.9109522465,514373.130205044,211946.224617216,250734.618827176,469088.476385129,479936.905322327,140432.718522474,144763.680514224,179656.309718245
